Time [s],Channel 0,Channel 1
147.099703800,0,1
147.099712400,1,1
147.099721000,0,1
147.099747000,1,1
147.099755600,0,1
147.099764400,1,1
147.099773000,0,1
147.099790200,1,1
147.099807600,0,1
147.099833600,1,1
147.123721000,1,0
147.123738200,1,1
147.123816200,1,0
147.123824800,1,1
147.123920200,1,0
147.123928800,1,1
147.123955000,1,0
147.123998200,1,1
147.124015600,1,0
147.124093600,1,1
147.124111000,1,0
147.124119400,1,1
147.124137000,1,0
147.124162800,1,1
147.124180200,1,0
147.124188800,1,1
147.124206200,1,0
147.124284200,1,1
147.124301600,1,0
147.124310200,1,1
147.124318800,1,0
147.124379400,1,1
147.124396800,1,0
147.124405400,1,1
147.124414200,1,0
147.124474800,1,1
147.124492200,1,0
147.124509400,1,1
147.124518200,1,0
147.124570200,1,1
147.124587600,1,0
147.124665400,1,1
147.124682800,1,0
147.124760800,1,1
147.124795400,1,0
147.124812800,1,1
147.124821400,1,0
147.124873400,1,1
147.124890800,1,0
147.124899400,1,1
147.124908200,1,0
147.124968600,1,1
147.124986200,1,0
147.125064000,1,1
147.125081400,1,0
147.125090000,1,1
147.125107400,1,0
147.125159400,1,1
147.125176800,1,0
147.125185400,1,1
147.125202800,1,0
147.125220000,1,1
147.125246000,1,0
147.125254600,1,1
147.125272000,1,0
147.125289400,1,1
147.125298000,1,0
147.125306600,1,1
147.125315400,1,0
147.125350000,1,1
147.125367400,1,0
147.125376000,1,1
147.125384800,1,0
147.125393200,1,1
147.125410800,1,0
147.125428000,1,1
147.125436800,1,0
147.125445200,1,1
147.125462800,1,0
147.125471200,1,1
147.125480000,1,0
147.125497200,1,1
147.125532000,1,0
147.125540600,1,1
147.125558000,1,0
147.125610000,1,1
147.125618600,1,0
147.125636000,1,1
147.125670600,1,0
147.125696600,1,1
147.125705400,1,0
147.125731200,1,1
147.125740000,1,0
147.125748600,1,1
147.125766000,1,0
147.125774600,1,1
147.125783200,1,0
147.125791800,1,1
147.125800600,1,0
147.125817800,1,1
147.125835200,1,0
147.125843800,1,1
147.125861200,1,0
147.125878600,1,1
147.125896000,1,0
147.125904600,1,1
147.125930600,1,0
147.125939200,1,1
147.125956600,1,0
147.125965200,1,1
147.125974000,1,0
147.125991200,1,1
147.126000000,1,0
147.126008600,1,1
147.126026000,1,0
147.126034600,1,1
147.126052000,1,0
147.126060400,1,1
147.126078000,1,0
147.126103800,1,1
147.126121200,1,0
147.126129800,1,1
147.126147200,1,0
147.126155800,1,1
147.126164600,1,0
147.126173200,1,1
147.126181800,1,0
147.126199200,1,1
147.126216600,1,0
147.126225200,1,1
147.126242600,1,0
147.126320400,1,1
147.126337800,1,0
147.126363800,1,1
147.126372600,1,0
147.126415800,1,1
147.126433200,1,0
147.126441800,1,1
147.126459200,1,0
147.126476400,1,1
147.126502600,1,0
147.126511200,1,1
147.126545800,1,0
147.126580400,1,1
147.126589200,1,0
147.126623800,1,1
147.126641200,1,0
147.126649800,1,1
147.126658600,1,0
147.126667200,1,1
147.126675800,1,0
147.126684400,1,1
147.126693200,1,0
147.126701800,1,1
147.126710600,1,0
147.126719200,1,1
147.126736600,1,0
147.126753800,1,1
147.126779800,1,0
147.126788400,1,1
147.126805800,1,0
147.126814400,1,1
147.126831800,1,0
147.126840400,1,1
147.126849200,1,0
147.126866400,1,1
147.126875200,1,0
147.126883800,1,1
