
Time [s],Channel 0,Channel 1
9.799312600,1,1
9.799321400,0,1
9.799373400,1,1
9.799382000,0,1
9.799460000,1,1
9.799468800,0,1
9.799546600,1,1
9.799555400,0,1
9.799564000,1,1
9.799590000,0,1
9.799633200,1,1
9.799642000,0,1
9.799659200,1,1
9.799668000,0,1
9.799719800,1,1
9.799728600,0,1
9.799806400,1,1
9.799815200,0,1
9.799893200,1,1
9.799901800,0,1
9.799979800,1,1
9.799988400,0,1
9.799997000,1,1
9.800005800,0,1
9.800040400,1,1
9.800075200,0,1
9.800092400,1,1
9.800101200,0,1
9.800109600,1,1
9.800127200,0,1
9.800153000,1,1
9.801135400,1,0
9.801152600,1,1
9.801221800,1,0
9.801230600,1,1
9.801308400,1,0
9.801317000,1,1
9.801334400,1,0
9.801386200,1,1
9.801395000,1,0
9.801472800,1,1
9.801481400,1,0
9.801490200,1,1
9.801498800,1,0
9.801507400,1,1
9.801516200,1,0
9.801559400,1,1
9.801568000,1,0
9.801602600,1,1
9.801611200,1,0
9.801646000,1,1
9.801654600,1,0
9.801671800,1,1
9.801680600,1,0
9.801732400,1,1
9.801741200,1,0
9.801749800,1,1
9.801758400,1,0
9.801819000,1,1
9.801827600,1,0
9.801905600,1,1
9.801914200,1,0
9.801992000,1,1
9.802000800,1,0
9.802009400,1,1
9.802018000,1,0
9.802035400,1,1
9.802044000,1,0
9.802061200,1,1
9.802087200,1,0
9.802096000,1,1
9.802104600,1,0
9.802121800,1,1
9.802156400,1,0
9.802165200,1,1
9.816862000,0,1
9.816879200,1,1
9.816948600,0,1
9.816957200,1,1
9.817035200,0,1
9.817043800,1,1
9.817069800,0,1
9.817113000,1,1
9.817121800,0,1
9.817199600,1,1
9.817208400,0,1
9.817217000,1,1
9.817260400,0,1
9.817286200,1,1
9.817295000,0,1
9.817372800,1,1
9.817381600,0,1
9.817416200,1,1
9.817425000,0,1
9.817459400,1,1
9.817468200,0,1
9.817476800,1,1
9.817485600,0,1
9.817546000,1,1
9.817554800,0,1
9.817572000,1,1
9.817580800,0,1
9.817632600,1,1
9.817641400,0,1
9.817719400,1,1
9.817728000,0,1
9.817806000,1,1
9.817814600,0,1
9.817832000,1,1
9.817840600,0,1
9.817892600,1,1
9.817901400,0,1
9.817909800,1,1
9.817918600,0,1
9.817979200,1,1
9.817988000,0,1
9.818065800,1,1
9.818074600,0,1
9.818083200,1,1
9.818100600,0,1
9.818152400,1,1
9.818161200,0,1
9.818169800,1,1
9.818187200,0,1
9.818204400,1,1
9.818230400,0,1
9.818239000,1,1
9.818247800,0,1
9.818265000,1,1
9.818282400,0,1
9.818325600,1,1
9.818334400,0,1
9.818377600,1,1
9.818395000,0,1
9.818412200,1,1
9.818429600,0,1
9.818447000,1,1
9.818473000,0,1
9.818481600,1,1
9.818490400,0,1
9.818507600,1,1
9.818516400,0,1
9.818524800,1,1
9.818542200,0,1
9.818559600,1,1
9.818577000,0,1
9.818594200,1,1
9.818611600,0,1
9.818628800,1,1
9.818655000,0,1
9.818663400,1,1
9.818672200,0,1
9.818689400,1,1
9.818698200,0,1
9.818706800,1,1
9.818724200,0,1
9.818741400,1,1
9.818758800,0,1
9.818776000,1,1
9.818793600,0,1
9.818871400,1,1
9.818880200,0,1
9.818906000,1,1
9.818914800,0,1
9.818958000,1,1
9.818966800,0,1
9.818984000,1,1
9.818992800,0,1
9.819044600,1,1
9.819053400,0,1
9.819131200,1,1
9.819140000,0,1
9.819217800,1,1
9.819226600,0,1
9.819235200,1,1
9.819244000,0,1
9.819252400,1,1
9.819261200,0,1
9.819304400,1,1
9.819313200,0,1
9.819330400,1,1
9.819339200,0,1
9.819391000,1,1
9.819399800,0,1
9.819477600,1,1
9.819486400,0,1
9.819564200,1,1
9.819573000,0,1
9.819581600,1,1
9.819607600,0,1
9.819651000,1,1
9.819659600,0,1
9.819676800,1,1
9.819685600,0,1
9.819737600,1,1
9.819746200,0,1
9.819824200,1,1
9.819833000,0,1
9.819910800,1,1
9.819919600,0,1
9.819997400,1,1
9.820006200,0,1
9.820014800,1,1
9.820023400,0,1
9.820058000,1,1
9.820092800,0,1
9.820110000,1,1
9.820118800,0,1
9.820127400,1,1
9.820144800,0,1
9.820170600,1,1
10.820562600,1,0
10.820580000,1,1
10.820649200,1,0
10.820657800,1,1
10.820735800,1,0
10.820744400,1,1
10.820753000,1,0
10.820813600,1,1
10.820822400,1,0
10.820900200,1,1
10.820908800,1,0
10.820926200,1,1
10.820934800,1,0
10.820986800,1,1
10.820995400,1,0
10.821004000,1,1
10.821021400,1,0
10.821073200,1,1
10.821082000,1,0
10.821159800,1,1
10.821168400,1,0
10.821203000,1,1
10.821211800,1,0
10.821229000,1,1
10.821237600,1,0
10.821246400,1,1
10.821255000,1,0
10.821281000,1,1
10.821307000,1,0
10.821315600,1,1
10.821324200,1,0
10.821332800,1,1
11.820553600,1,0
11.820570800,1,1
11.820640200,1,0
11.820648800,1,1
11.820726600,1,0
11.820735400,1,1
11.820744000,1,0
11.820804600,1,1
11.820813200,1,0
11.820891000,1,1
11.820899800,1,0
11.820917000,1,1
11.820925800,1,0
11.820977600,1,1
11.820986200,1,0
11.820995000,1,1
11.821012200,1,0
11.821064200,1,1
11.821072800,1,0
11.821150600,1,1
11.821159400,1,0
11.821194000,1,1
11.821202600,1,0
11.821220000,1,1
11.821228600,1,0
11.821237200,1,1
11.821245800,1,0
11.821271800,1,1
11.821297800,1,0
11.821306400,1,1
11.821315200,1,0
11.821323800,1,1
11.870572600,1,0
11.870590000,1,1
11.870659200,1,0
11.870667800,1,1
11.870745600,1,0
11.870754400,1,1
11.870763000,1,0
11.870823600,1,1
11.870832200,1,0
11.870910000,1,1
11.870918800,1,0
11.870936000,1,1
11.870944800,1,0
11.870996600,1,1
11.871005200,1,0
11.871014000,1,1
11.871031200,1,0
11.871083200,1,1
11.871091800,1,0
11.871169800,1,1
11.871178400,1,0
11.871213000,1,1
11.871221600,1,0
11.871239000,1,1
11.871247600,1,0
11.871256200,1,1
11.871265000,1,0
11.871290800,1,1
11.871316800,1,0
11.871325400,1,1
11.871334200,1,0
11.871342800,1,1
12.809663400,0,1
12.816254800,0,0
31.404032000,0,0
